,RAP Region (based on Project Location),Total Funding
0,Brisbane and Redlands,162996991.0
1,Central Queensland,7907498.0
2,Darling Downs,9972736.0
3,Far North Queensland,6272161.0
4,Gold Coast,12871053.0
5,Ipswich,5228534.0
6,Logan,1768624.0
7,Mackay-Whitsunday,1715337.0
8,Moreton Bay,2254325.0
9,NonQueensland,1213717.0
10,Other: Overseas,652500.0
11,Outback Queensland,1397962.0
12,Statewide,3369334.0
13,Sunshine Coast,9017936.0
14,Townsville,5988892.0
15,Wide Bay,2243587.0
16,nonQld,25000.0
